"Title","Place[Label]","Place[DBpedia abstract]","Place[DBpedia Page]","Place[Wikipedia Page]","Place[City]","Place[Town]","Place[County]","Place[State]","Place[Region]","Place[Country]","Place[Contained In County]","Place[Contained In State]","Place[Contained In Region]","Place[Contained In Country]","Place[Type of Place]","Place[Freebase Link]","Place[Yago Link]","Place[Geonames Link]","Place[Linkedgeodata Link]","Place[Rdfabout Link]","Place[Homepage]","Place[Latitude]","Place[Longitude]","Place[Coordinates]","Place[Location Source Information]","Free Text"
"Domfront,Normandy","Domfront, France",,"http://dbpedia.org/resource/Domfront,_Orne","http://en.wikipedia.org/wiki/Domfront,_Orne","Domfront",,"Orne","Basse-Normandie",,"France",,,,,,"http://rdf.freebase.com/ns/m/03qgs73","http://mpii.de/yago/resource/Domfront,_Orne",,,,,,,"48.594289, -0.650433",,
"Donaldsonville, Ascension Parish, LA","Donaldsonville, LA 70346, USA",,"http://dbpedia.org/resource/Donaldsonville,_Louisiana","http://en.wikipedia.org/wiki/Donaldsonville,_Louisiana","Donaldsonville",,"Ascension","Louisiana",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01_gtjx","http://mpii.de/yago/resource/Donaldsonville,_Louisiana",,,,,,,"30.1010323, -90.9928773",,
"Doncaster, York, England","Doncaster, South Yorkshire, UK",,"http://dbpedia.org/resource/Doncaster","http://en.wikipedia.org/wiki/Doncaster","Doncaster",,"South Yorkshire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0144wg","http://mpii.de/yago/resource/Doncaster","http://sws.geonames.org/2651123/","http://linkedgeodata.org/triplify/node/277667768#id",,,,,"53.52282, -1.128462",,
"Doncaster, Yorkshire, England","Doncaster, South Yorkshire, UK",,"http://dbpedia.org/resource/Doncaster","http://en.wikipedia.org/wiki/Doncaster","Doncaster",,"South Yorkshire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0144wg","http://mpii.de/yago/resource/Doncaster","http://sws.geonames.org/2651123/","http://linkedgeodata.org/triplify/node/277667768#id",,,,,"53.52282, -1.128462",,
"Donegal Bay,County Sligo,Ireland","Sligo, Co. Sligo, Ireland",,,,,,"Sligo","County Sligo",,"Ireland",,,,,,,,,,,,,,"54.2706008, -8.4716438",,
"Donegal, Butler, Pennsylvania, United States","Donegal, PA, USA",,,,,,"Butler","Pennsylvania",,"United States",,,,,,,,,,,,,,"40.9215157, -79.7175517",,
"Donegal, Westmoreland, Pennsylvania, United States","Donegal, PA, USA",,"http://dbpedia.org/resource/Donegal,_Pennsylvania","http://en.wikipedia.org/wiki/Donegal,_Pennsylvania","Donegal",,"Westmoreland","Pennsylvania",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0_gxt","http://mpii.de/yago/resource/Donegal,_Pennsylvania",,,,,,,"40.112573, -79.3825351",,
"Dongal, Westmoreland, Pennsylvania, United States","Donegal, PA, USA",,"http://dbpedia.org/resource/Donegal,_Pennsylvania","http://en.wikipedia.org/wiki/Donegal,_Pennsylvania","Donegal",,"Westmoreland","Pennsylvania",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0_gxt","http://mpii.de/yago/resource/Donegal,_Pennsylvania",,,,,,,"40.112573, -79.3825351",,
"Dooly, Georgia, United States","Dooly, GA, USA",,,,,,"Dooly","Georgia",,"United States",,,,,,,,,,,,,,"32.1593447, -83.804868",,
"Dorchester, England","Dorchester, Dorset, UK",,"http://dbpedia.org/resource/Dorchester,_Dorset","http://en.wikipedia.org/wiki/Dorchester,_Dorset","Dorchester",,"Dorset","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01nvc_","http://mpii.de/yago/resource/Dorchester,_Dorset",,,,,,,"50.7111639, -2.441181",,
"Dorchester, MA","Dorchester, Boston, MA, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.3016305, -71.067605",,
"Dorchester, Maryland, United States","Dorchester, MD, USA",,,,,,"Dorchester","Maryland",,"United States",,,,,,,,,,,,,,"38.4152819, -76.1783739",,
"Dorchester, Massachusetts","Dorchester, Boston, MA, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.3016305, -71.067605",,
"Dorchester, , Massachusetts","Dorchester, Boston, MA, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.3016305, -71.067605",,
"Dorchester,New Hampshire","Dorchester, NH, USA",,"http://dbpedia.org/resource/Dorchester,_New_Hampshire","http://en.wikipedia.org/wiki/Dorchester,_New_Hampshire","Dorchester",,"Grafton","New Hampshire",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0xg9q","http://mpii.de/yago/resource/Dorchester,_New_Hampshire",,,,,,,"43.75667, -71.94917",,
"Dorchester, Suffolk Co., England","New England Ave, Boston, MA 02124, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.289781, -71.07821",,
"Dorchester, Suffolk Co, MA","Dorchester, Boston, MA, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.3016305, -71.067605",,
"Dorchester, Suffolk, Massachusetts, United States","Dorchester, Boston, MA, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.3016305, -71.067605",,
"Dorothy, Raleigh, West Virginia, United States","Dorothy, 2, WV 25060, USA",,,,,,"Raleigh","West Virginia",,"United States",,,,,,,,,,,,,,"37.9551086, -81.4495538",,
", Dorset, , England","Dorset, UK",,,,,,"Dorset","England",,"United Kingdom",,,,,,,,,,,,,,"50.7390661, -2.3382346",,
"Dotzingen","Dotzigen, Switzerland",,"http://dbpedia.org/resource/Dotzigen","http://en.wikipedia.org/wiki/Dotzigen","Dotzigen",,"Büren District","Bern",,"Switzerland",,,,,,"http://rdf.freebase.com/ns/m/0fr2n4","http://mpii.de/yago/resource/Dotzigen",,"http://linkedgeodata.org/triplify/node/130283757#id",,,,,"47.1203, 7.34385",,
"Douglas, Berks, Pennsylvania, United States","Douglas St, Wyomissing, PA 19610, USA",,"http://dbpedia.org/resource/Wyomissing,_Pennsylvania","http://en.wikipedia.org/wiki/Wyomissing,_Pennsylvania","Wyomissing",,"Berks","Pennsylvania",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0zlsm","http://mpii.de/yago/resource/Wyomissing,_Pennsylvania",,,,,,,"40.3428075, -75.9636758",,
"Douglas Co., Ill","Douglas, IL 61572, USA",,,,"Douglas",,"Knox","Illinois",,"United States",,,,,,,,,,,,,,"40.785049, -90.081779",,
"Douglas, Oregon, USA","Douglas, OR, USA",,,,,,"Douglas","Oregon",,"United States",,,,,,,,,,,,,,"43.1260694, -123.2492364",,
"Douglastown, NB","Douglastown, NB E1V, Canada",,"http://dbpedia.org/resource/Douglastown","http://en.wikipedia.org/wiki/Douglastown","Douglastown",,"Northumberland County","New Brunswick",,"Canada",,,,,,"http://rdf.freebase.com/ns/m/0281hr0","http://mpii.de/yago/resource/Douglastown",,,,,,,"47.028815, -65.493899",,
"Doune, Kincardineshire, , Scotland","Scotland, UK",,,,,,,"Scotland",,"United Kingdom",,,,,,,,,,,,,,"56.4906712, -4.2026458",,
"Dover, Athens, Ohio, United States","Dover, OH, USA",,,,,,"Athens","Ohio",,"United States",,,,,,,,,,,,,,"39.4046386, -82.1060683",,
"Dover Castle","Dover, Dover Castle (adj), Canons Gate Rd, Dover, Kent CT16 1, UK",,"http://dbpedia.org/resource/Dover","http://en.wikipedia.org/wiki/Dover","Dover",,"Kent","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0b28g","http://mpii.de/yago/resource/Dover","http://sws.geonames.org/2651048/","http://linkedgeodata.org/triplify/node/21421224#id",,,,,"51.129153, 1.318381",,
"Dover, Delaware, USA","Dover, DE, USA",,"http://dbpedia.org/resource/Dover,_Delaware","http://en.wikipedia.org/wiki/Dover,_Delaware","Dover",,"Kent","Delaware",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0fttz","http://mpii.de/yago/resource/Dover,_Delaware",,,,,,,"39.158168, -75.5243682",,
"Dover, England,,,,","Dover, Kent, UK",,"http://dbpedia.org/resource/Dover","http://en.wikipedia.org/wiki/Dover","Dover",,"Kent","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0b28g","http://mpii.de/yago/resource/Dover","http://sws.geonames.org/2651048/","http://linkedgeodata.org/triplify/node/21421224#id",,,,,"51.126371, 1.316198",,
"Dover,,England","Dover, Kent, UK",,"http://dbpedia.org/resource/Dover","http://en.wikipedia.org/wiki/Dover","Dover",,"Kent","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0b28g","http://mpii.de/yago/resource/Dover","http://sws.geonames.org/2651048/","http://linkedgeodata.org/triplify/node/21421224#id",,,,,"51.126371, 1.316198",,
", Down, Clare, Ireland","Clare, Co. Clare, Ireland",,,,,,"Clare","County Clare",,"Ireland",,,,,,,,,,,,,,"52.7844592, -9.0807476",,
"Downey, CALifornia","Downey, CA, USA",,"http://dbpedia.org/resource/Downey,_California","http://en.wikipedia.org/wiki/Downey,_California","Downey",,"Los Angeles","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0r066","http://mpii.de/yago/resource/Downey,_California",,,,,,,"33.9400143, -118.1325688",,
"Doyle's Hill, Coneross Creek Pickens District, SC","South Carolina, USA",,,,,,,"South Carolina",,"United States",,,,,,,,,,,,,,"33.836081, -81.1637245",,
"Doyle's Hill, Coneross Creek, Pickens District, SC","South Carolina, USA",,,,,,,"South Carolina",,"United States",,,,,,,,,,,,,,"33.836081, -81.1637245",,
"Drayton","Drayton, ND 58225, USA",,"http://dbpedia.org/resource/Drayton,_North_Dakota","http://en.wikipedia.org/wiki/Drayton,_North_Dakota","Drayton",,"Pembina","North Dakota",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0203zns","http://mpii.de/yago/resource/Drayton,_North_Dakota",,,,,,,"48.5710958, -97.1778485",,
"Drayton, Hants","Drayton, Portsmouth PO6, UK",,"http://dbpedia.org/resource/Portsmouth","http://en.wikipedia.org/wiki/Portsmouth","Portsmouth",,"Portsmouth","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0619_","http://mpii.de/yago/resource/Portsmouth","http://sws.geonames.org/3333183/","http://linkedgeodata.org/triplify/node/17721995#id",,,,,"50.845962, -1.040324",,
"Drayton, Oxfordshire, , England","Drayton, Oxfordshire, UK",,,,"Drayton",,"Oxfordshire","England",,"United Kingdom",,,,,,,,,,,,,,"51.642369, -1.311661",,
"Dromin, 5305, Ireland","Dromin, Cloghroe, Tower, Co. Cork, Ireland",,"http://dbpedia.org/resource/Tower,_County_Cork","http://en.wikipedia.org/wiki/Tower,_County_Cork","Tower",,"Cork","County Cork",,"Ireland",,,,,,"http://rdf.freebase.com/ns/m/0br32_","http://mpii.de/yago/resource/Tower,_County_Cork",,,,,,,"51.9194568, -8.6282639",,
"Drottningholm,Near Stockholm,Sweden","Drottningholm, Sweden",,,,,,,"Stockholm County",,"Sweden",,,,,,,,,,,,,,"59.3254794, 17.8886967",,
"Drowned in Clarkfork River, Mont. burried in Cook City, Mt",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Drumaneen, Crusheen, Clare, Ireland","Drumaneen, Co. Clare, Ireland",,,,,,"Clare","County Clare",,"Ireland",,,,,,,,,,,,,,"52.941429, -8.8878898",,
"Drumright, Creek, Oklahoma, USA","Drumright, OK, USA",,"http://dbpedia.org/resource/Drumright,_Oklahoma","http://en.wikipedia.org/wiki/Drumright,_Oklahoma","Drumright",,"Creek","Oklahoma",,"United States",,,,,,"http://rdf.freebase.com/ns/m/013k6b","http://mpii.de/yago/resource/Drumright,_Oklahoma",,,,,,,"35.9884013, -96.6011294",,
"Dry Fork, D.G. Sayers Farm, Va.","Virginia, USA",,,,,,,"Virginia",,"United States",,,,,,,,,,,,,,"37.4315734, -78.6568942",,
"Dry Fork, Tazewell Co., VA","Dry Fork, United States",,,,,,,,,"United States",,,,,,,,,,,,,,"37.1754664, -81.6122064",,
"Dry Fork, Tazewell, Va","Dry Fork, United States",,,,,,,,,"United States",,,,,,,,,,,,,,"37.1754664, -81.6122064",,
"Dry Fork, Tazewell, VA","Dry Fork, United States",,,,,,,,,"United States",,,,,,,,,,,,,,"37.1754664, -81.6122064",,
"Dublin","Dublin, Co. Dublin, Ireland",,"http://dbpedia.org/resource/Dublin","http://en.wikipedia.org/wiki/Dublin","Dublin",,"Dublin City","County Dublin",,"Ireland",,,,,,"http://rdf.freebase.com/ns/m/02cft",,"http://sws.geonames.org/2964574/","http://linkedgeodata.org/triplify/node/52270100#id",,,,,"53.344104, -6.2674937",,
"Dublin, Butts, Georgia, United States","Butts, GA 30442, USA",,,,"Butts",,"Jenkins","Georgia",,"United States",,,,,,,,,,,,,,"32.72583, -82.02639",,
"Dublin, Cheshire Co., New Hampshire","Dublin, NH, USA",,"http://dbpedia.org/resource/Dublin,_New_Hampshire","http://en.wikipedia.org/wiki/Dublin,_New_Hampshire","Dublin",,"Cheshire","New Hampshire",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0xf3_",,,,,,,,"42.9058333, -72.0608333",,
"Dublin, Franklin, Ohio, United States","Dublin, OH, USA",,"http://dbpedia.org/resource/Dublin,_Ohio","http://en.wikipedia.org/wiki/Dublin,_Ohio","Dublin",,"Franklin","Ohio",,"United States",,,,,,"http://rdf.freebase.com/ns/m/013jm1",,,,,,,,"40.0992294, -83.1140771",,
"Dublin,Ireland","Dublin, Co. Dublin, Ireland",,"http://dbpedia.org/resource/Dublin","http://en.wikipedia.org/wiki/Dublin","Dublin",,"Dublin City","County Dublin",,"Ireland",,,,,,"http://rdf.freebase.com/ns/m/02cft",,"http://sws.geonames.org/2964574/","http://linkedgeodata.org/triplify/node/52270100#id",,,,,"53.344104, -6.2674937",,
"Dublin, Ireland","Dublin, Co. Dublin, Ireland",,"http://dbpedia.org/resource/Dublin","http://en.wikipedia.org/wiki/Dublin","Dublin",,"Dublin City","County Dublin",,"Ireland",,,,,,"http://rdf.freebase.com/ns/m/02cft",,"http://sws.geonames.org/2964574/","http://linkedgeodata.org/triplify/node/52270100#id",,,,,"53.344104, -6.2674937",,
"Dublin, New Hampshire","Dublin, NH, USA",,"http://dbpedia.org/resource/Dublin,_New_Hampshire","http://en.wikipedia.org/wiki/Dublin,_New_Hampshire","Dublin",,"Cheshire","New Hampshire",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0xf3_",,,,,,,,"42.9058333, -72.0608333",,
"Dubuque, Dubuque, Iowa, USA","Dubuque, IA, USA",,"http://dbpedia.org/resource/Dubuque,_Iowa","http://en.wikipedia.org/wiki/Dubuque,_Iowa","Dubuque",,"Dubuque","Iowa",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0ghtf",,,,,,,,"42.5005583, -90.6645718",,
"Duddingston, Midlothian","Duddingston, Edinburgh, City of Edinburgh EH15, UK",,"http://dbpedia.org/resource/Edinburgh","http://en.wikipedia.org/wiki/Edinburgh","Edinburgh",,"City of Edinburgh","Scotland",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/02m77","http://mpii.de/yago/resource/Edinburgh","http://sws.geonames.org/2650225/","http://linkedgeodata.org/triplify/node/17898859#id",,,,,"55.945471, -3.136022",,
"Duette, Manatee, Florida, United States","Duette, FL 34219, USA",,,,,,"Manatee","Florida",,"United States",,,,,,,,,,,,,,"27.5903135, -82.122866",,
"Due West, SC","Due West, SC 29639, USA",,"http://dbpedia.org/resource/Due_West,_South_Carolina","http://en.wikipedia.org/wiki/Due_West,_South_Carolina","Due West",,"Abbeville","South Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/080lt3j",,,,,,,,"34.3334469, -82.387902",,
"Dummer,,England","Dummer, Hampshire RG25, UK",,"http://dbpedia.org/resource/Dummer,_Hampshire","http://en.wikipedia.org/wiki/Dummer,_Hampshire","Dummer",,"Hampshire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/06ykzb","http://mpii.de/yago/resource/Dummer,_Hampshire",,,,,,,"51.208842, -1.16187",,
"Dunbar, Kanawha, Virginia, United States","Dunbar, WV, USA",,"http://dbpedia.org/resource/Dunbar,_West_Virginia","http://en.wikipedia.org/wiki/Dunbar,_West_Virginia","Dunbar",,"Kanawha","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010x40","http://mpii.de/yago/resource/Dunbar,_West_Virginia",,,,,,,"38.3606509, -81.7373485",,
"Dunbar, Kanawha, West Virginia, United States","Dunbar, WV, USA",,"http://dbpedia.org/resource/Dunbar,_West_Virginia","http://en.wikipedia.org/wiki/Dunbar,_West_Virginia","Dunbar",,"Kanawha","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010x40","http://mpii.de/yago/resource/Dunbar,_West_Virginia",,,,,,,"38.3606509, -81.7373485",,
"Dunblane, , , France",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Dunfermline","Dunfermline, Fife, UK",,"http://dbpedia.org/resource/Dunfermline","http://en.wikipedia.org/wiki/Dunfermline","Dunfermline",,"Fife","Scotland",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01b1nk","http://mpii.de/yago/resource/Dunfermline","http://sws.geonames.org/2650732/","http://linkedgeodata.org/triplify/node/26405498#id",,,,,"56.071741, -3.452151",,
"Dunfermline,Scotland","Dunfermline, Fife, UK",,"http://dbpedia.org/resource/Dunfermline","http://en.wikipedia.org/wiki/Dunfermline","Dunfermline",,"Fife","Scotland",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01b1nk","http://mpii.de/yago/resource/Dunfermline","http://sws.geonames.org/2650732/","http://linkedgeodata.org/triplify/node/26405498#id",,,,,"56.071741, -3.452151",,
"Dunganstown, Ireland","Dunganstown, Co. Wicklow, Ireland",,,,,,"Wicklow","County Wicklow",,"Ireland",,,,,,,,,,,,,,"52.9344143, -6.1420845",,
"Dunham, Messequoi Co., Quebec, Canada","Dunham, QC, Canada",,"http://dbpedia.org/resource/Dunham,_Quebec","http://en.wikipedia.org/wiki/Dunham,_Quebec","Dunham",,"Brome-Missisquoi Regional County Municipality","Quebec",,"Canada",,,,,,"http://rdf.freebase.com/ns/m/047lj7y",,,,,,,,"45.1346909, -72.799976",,
"Dunkær, Ærø, Bro, Denmark","Dunkærvej, 5970 Ærøskøbing, Denmark",,,,"Ærøskøbing",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.8501717, 10.4142863",,
"Dunkær, Denmark","5970 Dunkær, Denmark",,,,"Dunkær",,"Ærø Municipality","Syddanmark",,"Denmark",,,,,,,,,,,,,,"54.84847, 10.416082",,
"Duplin, North Carolina, United States","Duplin, NC, USA",,,,,,"Duplin","North Carolina",,"United States",,,,,,,,,,,,,,"34.8840095, -78.0195387",,
"Dupont, Clinch, Georgia, United States","Du Pont, GA, USA",,"http://dbpedia.org/resource/Du_Pont,_Georgia","http://en.wikipedia.org/wiki/Du_Pont,_Georgia","Du Pont",,"Clinch","Georgia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0rv6g","http://mpii.de/yago/resource/Du_Pont,_Georgia",,,,,,,"30.9885419, -82.8715305",,
"Durham, Androscoggin, Maine","Durham, ME, USA",,"http://dbpedia.org/resource/Durham,_Maine","http://en.wikipedia.org/wiki/Durham,_Maine","Durham",,"Androscoggin","Maine",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0tnjf","http://mpii.de/yago/resource/Durham,_Maine",,,,,,,"43.9725, -70.1230556",,
"Durham Castle, Durham, England","Durham University, Durham, County Durham DH1 3, UK",,"http://dbpedia.org/resource/Durham","http://en.wikipedia.org/wiki/Durham","Durham",,"County Durham","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0hx5f","http://mpii.de/yago/resource/Durham","http://sws.geonames.org/2650628/","http://linkedgeodata.org/triplify/node/21181736#id",,,,,"54.7725728, -1.5766376",,
"Durham House,London,England","Durham House St, City of Westminster, WC2N, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5093504, -0.1234138",,
"Durham, North Carolina, United States","Durham, NC, USA",,"http://dbpedia.org/resource/Durham,_North_Carolina","http://en.wikipedia.org/wiki/Durham,_North_Carolina","Durham",,"Durham","North Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/013hxv","http://mpii.de/yago/resource/Durham,_North_Carolina",,,,,,,"35.9940329, -78.898619",,
"Durham, VA","Durham, USA",,,,,,,,,"United States",,,,,,,,,,,,,,"36.0263022, -79.1096901",,
"Dusseldorf","Düsseldorf, Germany",,,,"Dusseldorf",,"Düsseldorf","Nordrhein-Westfalen",,"Germany",,,,,,,,,,,,,,"51.2277411, 6.7734556",,
"Dutchess County, New York","Dutchess, NY, USA",,,,,,"Dutchess","New York",,"United States",,,,,,,,,,,,,,"41.7784372, -73.7477857",,
"Duxbury, England","Duxbury Gardens, Chorley, Lancashire PR7, UK",,"http://dbpedia.org/resource/Chorley","http://en.wikipedia.org/wiki/Chorley","Chorley",,"Lancashire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/011zll","http://mpii.de/yago/resource/Chorley",,"http://linkedgeodata.org/triplify/node/21434926#id",,,,,"53.6391548, -2.6225934",,
"Duxbury, plymouth Co., Mass.","Duxbury, MA, USA",,"http://dbpedia.org/resource/Duxbury,_Massachusetts","http://en.wikipedia.org/wiki/Duxbury,_Massachusetts","Duxbury",,"Plymouth","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01m89c","http://mpii.de/yago/resource/Duxbury,_Massachusetts",,,,,,,"42.0417525, -70.6722767",,
"Duxbury, Plymouth Co, Mass.","Duxbury, MA, USA",,"http://dbpedia.org/resource/Duxbury,_Massachusetts","http://en.wikipedia.org/wiki/Duxbury,_Massachusetts","Duxbury",,"Plymouth","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01m89c","http://mpii.de/yago/resource/Duxbury,_Massachusetts",,,,,,,"42.0417525, -70.6722767",,
"Duxbury, Plymouth Co., Mass","Duxbury, MA, USA",,"http://dbpedia.org/resource/Duxbury,_Massachusetts","http://en.wikipedia.org/wiki/Duxbury,_Massachusetts","Duxbury",,"Plymouth","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01m89c","http://mpii.de/yago/resource/Duxbury,_Massachusetts",,,,,,,"42.0417525, -70.6722767",,
"Duxbury, Plymouth Co., Mass.","Duxbury, MA, USA",,"http://dbpedia.org/resource/Duxbury,_Massachusetts","http://en.wikipedia.org/wiki/Duxbury,_Massachusetts","Duxbury",,"Plymouth","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01m89c","http://mpii.de/yago/resource/Duxbury,_Massachusetts",,,,,,,"42.0417525, -70.6722767",,
"Duxbury, Plymouth, Mass.","Duxbury, MA, USA",,"http://dbpedia.org/resource/Duxbury,_Massachusetts","http://en.wikipedia.org/wiki/Duxbury,_Massachusetts","Duxbury",,"Plymouth","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01m89c","http://mpii.de/yago/resource/Duxbury,_Massachusetts",,,,,,,"42.0417525, -70.6722767",,
"Ealing, London, England","Ealing, Greater London, UK",,"http://dbpedia.org/resource/Ealing","http://en.wikipedia.org/wiki/Ealing","Ealing",,"Greater London","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/013c2f","http://mpii.de/yago/resource/Ealing",,"http://linkedgeodata.org/triplify/node/27529292#id",,,,,"51.512105, -0.3038989",,
"Ealing, LONDON (W), London, England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"Earls branch, Cliffield, Va.","Virginia, USA",,,,,,,"Virginia",,"United States",,,,,,,,,,,,,,"37.4315734, -78.6568942",,
"Early Co., GA","Early Co, Blakely, GA 39851, USA",,"http://dbpedia.org/resource/Blakely,_Georgia","http://en.wikipedia.org/wiki/Blakely,_Georgia","Blakely",,"Clay","Georgia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0rw49","http://mpii.de/yago/resource/Blakely,_Georgia",,,,,,,"31.506193, -84.97986",,
"Earnley and Redland, England","Redlands Ln, West Wittering, West Sussex PO20, UK",,"http://dbpedia.org/resource/West_Wittering","http://en.wikipedia.org/wiki/West_Wittering","West Wittering",,"West Sussex","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/02x4hgb","http://mpii.de/yago/resource/West_Wittering",,"http://linkedgeodata.org/triplify/node/29336736#id",,,,,"50.7886911, -0.8698471",,
"Easington, Yorkshire, England","Easington, East Riding of Yorkshire HU12, UK",,"http://dbpedia.org/resource/Easington,_East_Riding_of_Yorkshire","http://en.wikipedia.org/wiki/Easington,_East_Riding_of_Yorkshire","Easington",,"East Riding of Yorkshire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/057zwf","http://mpii.de/yago/resource/Easington,_East_Riding_of_Yorkshire",,,,,,,"53.650802, 0.11556",,
"Easley, SC","Easley, SC, USA",,"http://dbpedia.org/resource/Easley,_South_Carolina","http://en.wikipedia.org/wiki/Easley,_South_Carolina","Easley",,"Pickens","South Carolina",,"United States",,,,,,"http://rdf.freebase.com/ns/m/020vy5k","http://mpii.de/yago/resource/Easley,_South_Carolina",,,,,,,"34.829838, -82.6015206",,
"East Baintree, Massachusetts","East Braintree, Braintree, MA 02184, USA",,"http://dbpedia.org/resource/Braintree,_Massachusetts","http://en.wikipedia.org/wiki/Braintree,_Massachusetts","Braintree",,"Norfolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cj4g","http://mpii.de/yago/resource/Braintree,_Massachusetts",,,,,,,"42.2250998, -70.9744915",,
"East Berne, Albany, New York","East Berne, Berne, NY 12059, USA",,,,,,"Albany","New York",,"United States",,,,,,,,,,,,,,"42.6164662, -74.0745747",,
"East Boston, MA","East Boston, Boston, MA, USA",,"http://dbpedia.org/resource/Boston","http://en.wikipedia.org/wiki/Boston","Boston",,"Suffolk","Massachusetts",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01cx_","http://mpii.de/yago/resource/Boston",,,,,,,"42.3695431, -71.0200613",,
